0,0,1,1.0,5.5,0.0,0,1,0,-1.0472,-2.35619,True
1,1,2,1.0,5.5,0.0,1,0,0,3.14159,3.14159,True
2,0,3,0.9922778606414795,5.375965118408203,0.0,0,1,0,1.0472,1.0472,True
3,3,4,0.9851233959197998,5.285619258880615,0.0,1,0,0,-3.14159,-3.14159,False
4,1,5,1.0,5.5,0.0,1,0,0,-0.88609,-0.88609,True
5,1,6,1.0,5.5,0.0,1,0,0,1.48812,-1.48188,False
6,6,7,1.000000238418579,5.5,0.0,0,1,0,0.37699,0.37699,False
7,1,8,1.0,5.5,0.0,1,0,0,-0.49604,0.62832,False
8,6,9,1.000000238418579,5.5,0.0,0,1,0,-2.95119,-0.54636,True
9,6,10,0.9965777397155762,5.420097827911377,0.11299879848957062,0,1,0,-0.96425,-0.96425,False
